1	托尼洛·兰博基尼酒	CMN_DF_000020_20150924_G00A040VI:804-812
2	托尼洛·兰博基尼酒	CMN_DF_000020_20150924_G00A040VI:804-812
3	托尼洛·兰博基尼酒	CMN_DF_000020_20150924_G00A040VI:1000-1008
4	根里赫·戈里高里耶	CMN_DF_000191_20150810_G00A0CKP7:760-768
5	维奇·雅果达	CMN_DF_000191_20150810_G00A0CKP7:769-774
6	亚历山大·奥尔洛夫	CMN_DF_000191_20150810_G00A0CKP7:831-839
7	柯蒂斯·李梅	CMN_DF_000191_20151230_G00A0EFEB:176-181
8	麦克尔·雷诺兹	CMN_DF_000020_20150520_G00A0BOSP:244-250
9	玛莎·盖尔霍恩	CMN_DF_000020_20150520_G00A0BOSP:740-746
10	阿尔法·罗密欧	CMN_DF_000020_20150427_G00A0C2J4:472-478
11	胡利奥·里奥斯	CMN_DF_000020_20151029_G00A040H1:603-609
12	琳塞·亚当斯	CMN_DF_000020_20150209_G00A0BH44:630-635
13	卡德加·普拉萨德·夏尔马·奥利	CMN_DF_000191_20160418_G00A0DBQV:250-264
14	萨迪什·孙曼	CMN_DF_000191_20160418_G00A0DBQV:700-705
15	米瑞安·玛格莱斯	CMN_DF_000191_20160323_G00A0EGW2:476-483
16	查林·怀特	CMN_DF_000020_20150215_G00A03SH9:395-399
17	辛迪·克劳馥	CMN_DF_000020_20150215_G00A03SH9:420-425
18	美国约翰·霍普金斯大	CMN_DF_000020_20150312_G00A0E9KS:1030-1039
19	坚费利克斯·埃德蒙多维	CMN_DF_000191_20140913_G00A0ECAW:1402-1412
20	谢里夫·伊斯梅尔	CMN_DF_000191_20151101_G00A0EEP8:296-303
21	埃加尔多·布斯加利亚	CMN_DF_000311_20120521_G00A0EKVW:332-341
22	安德烈·萨金塞夫	CMN_DF_000020_20150530_G00A03R1E:254-261
23	尼基塔·米哈尔科夫	CMN_DF_000020_20150530_G00A03R1E:356-364
24	安德烈·萨金塞夫	CMN_DF_000020_20150530_G00A03R1E:608-615
25	费利普·弥勒	CMN_DF_000020_20150530_G00A03R1E:678-683
26	罗恩·耶克萨	CMN_DF_000020_20150530_G00A03R1E:690-695
27	尼古拉斯·里戈·罗伯特	CMN_DF_000020_20150530_G00A03R1E:793-803
28	克里斯蒂娜·西富恩特斯	CMN_DF_000020_20160214_G00A0C07K:705-715
29	曼努埃拉·卡梅纳	CMN_DF_000020_20160214_G00A0C07K:1106-1113
30	贝戈尼娅·比利亚西斯	CMN_DF_000020_20160214_G00A0C07K:1397-1406
31	曼努埃拉·卡梅纳	CMN_DF_000020_20160214_G00A0C07K:1418-1425
32	佛拉基米尔·兹罗宾	CMN_DF_000311_20141125_G00A0EOO3:454-462
33	亚历山大·克拉斯诺佩	CMN_DF_000311_20141125_G00A0EOO3:1792-1801
34	佛拉基米尔·兹罗宾	CMN_DF_000311_20141125_G00A0EOO3:1860-1868
35	卡尔·海因里希·马克思	CMN_DF_000191_20141130_G00A0ECP6:161-171
36	卡尔·马克思	CMN_DF_000191_20141130_G00A0ECP6:374-379
37	弗拉基米尔·伊里奇·乌里扬诺夫	CMN_DF_000191_20141130_G00A0ECP6:452-466
38	约瑟夫·维萨里奥诺	CMN_DF_000191_20141130_G00A0ECP6:662-670
39	维奇·斯大林	CMN_DF_000191_20141130_G00A0ECP6:671-676
