1	奥拉西奥·卡特斯	CMN_NW_001278_20130816_F000119XL:218-225
2	胡安·阿法拉	CMN_NW_001278_20130816_F000119XL:306-311
3	费尔南多·卢戈	CMN_NW_001278_20130816_F000119XL:550-556
4	奥拉西奥·卡特斯	CMN_NW_001278_20130816_F000119XL:611-618
5	劳拉·巴艾萨	CMN_NW_001278_20131129_F00010XJQ:228-233
6	侯赛因·阿巴西	CMN_NW_001278_20131129_F00010XJQ:469-475
7	亚尔莫·黑基宁	CMN_NW_001278_20130519_F0001008Y:306-312
8	乌胡鲁·肯雅塔	CMN_NW_001278_20131213_F00010KMX:292-298
9	乔莫·肯雅塔	CMN_NW_001278_20131213_F00010KMX:424-429
10	克瓦米·恩克鲁玛	CMN_NW_001278_20131213_F00010KMX:437-444
11	朱利叶斯·尼雷尔	CMN_NW_001278_20131213_F00010KMX:454-461
12	肯尼思·卡翁达	CMN_NW_001278_20131213_F00010KMX:470-476
13	纳尔逊·曼德拉	CMN_NW_001278_20131213_F00010KMX:503-509
14	里德·黑斯廷斯	CMN_NW_001278_20130403_F00011E83:516-522
15	亚历杭德拉·贝尼特斯	CMN_NW_001278_20130814_F00010H7P:262-271
16	亨利·凯瑟克	CMN_NW_001278_20130205_F000115WG:210-215
17	尼科斯·阿纳斯塔夏	CMN_NW_001278_20130224_F00010VGE:313-321
18	斯塔夫罗斯·马拉斯	CMN_NW_001278_20130224_F00010VGE:339-347
19	埃里克·加切蒂	CMN_NW_001278_20130820_F00011HXZ:221-227
20	马里奥·阿尔贝托·肯贝斯体育	CMN_NW_001278_20130203_F00011B7C:256-269
21	拉丽莎·约尔达	CMN_NW_001278_20130908_F00010MLF:245-251
22	克里斯蒂安·伯察	CMN_NW_001278_20130908_F00010MLF:280-287
23	桑德拉·伊兹巴沙	CMN_NW_001278_20130908_F00010MLF:551-558
24	威廉·科恩	CMN_NW_001278_20130325_F00011E5Y:240-244
25	保罗·吉利斯	CMN_NW_001278_20130828_F00010Y68:581-586
26	迈伦·斯科尔斯	CMN_NW_001278_20130917_F00010K0B:880-886
27	乌戈·拉斐尔·查韦斯·弗里亚斯	CMN_NW_001278_20130306_F00010QAW:244-258
