ENG_NW_001278_20130115_F00013C4Y	3384
ENG_NW_001278_20130118_F00013MGE	3721
ENG_NW_001278_20130226_F000135NO	3031
ENG_NW_001278_20130304_F00011MYY	3983
ENG_NW_001278_20130316_F00011XE2	3945
ENG_NW_001278_20130316_F000120R5	3024
ENG_NW_001278_20130316_F00012HSR	5015
ENG_NW_001278_20130319_F00011N3Z	4618
ENG_NW_001278_20130324_F00013N20	1844
ENG_NW_001278_20130327_F00012LCF	4065
ENG_NW_001278_20130424_F00011JZI	2738
ENG_NW_001278_20130427_F00012EUX	4051
ENG_NW_001278_20130427_F00012P0Y	3282
ENG_NW_001278_20130429_F00012I7X	3786
ENG_NW_001278_20130509_F000124PB	3348
ENG_NW_001278_20130528_F00011UMS	2079
ENG_NW_001278_20130604_F00012LYW	3793
ENG_NW_001278_20130606_F00013GXM	2836
ENG_NW_001278_20130709_F00013NZW	1717
ENG_NW_001278_20130720_F000133K8	2037
ENG_NW_001278_20130812_F00013E3A	2129
ENG_NW_001278_20130815_F00011L1E	2123
ENG_NW_001278_20130817_F00013KZK	4820
ENG_NW_001278_20130928_F00013EKF	2533
ENG_NW_001278_20131005_F00012XHZ	4820
ENG_NW_001278_20131031_F00011W2Q	4073
ENG_NW_001278_20131110_F00011W6D	3004
ENG_NW_001278_20131110_F00012QWQ	4527
ENG_NW_001278_20131111_F000126FW	4302
ENG_NW_001278_20131111_F00012XVL	3235
ENG_NW_001278_20131112_F00012XVV	3247
ENG_NW_001278_20131113_F000134P0	3552
ENG_NW_001278_20131120_F000126J0	2705
ENG_NW_001278_20131121_F00012UIC	1935
ENG_NW_001278_20131121_F00013LXP	1891
ENG_NW_001278_20131202_F00012NN1	1803
ENG_NW_001278_20131202_F00012UM5	2757
ENG_NW_001278_20131202_F00013SQB	4390
ENG_NW_001278_20131205_F00013F7U	1824
ENG_NW_001278_20131205_F00013PDI	1031
ENG_NW_001278_20131206_F00011WGK	2950
ENG_NW_001278_20131206_F00011WGV	2236
ENG_NW_001278_20131206_F00012UNK	3171
ENG_NW_001278_20131206_F00013SSC	1640
ENG_NW_001278_20131208_F00011T21	5141
ENG_NW_001278_20131208_F000131GR	2794
ENG_NW_001278_20131210_F00012R7Q	3751
ENG_NW_001278_20131210_F00013IO6	2087
ENG_NW_001278_20131215_F00011PM5	3844
ENG_NW_001278_20131217_F00012A4N	2134
ENG_NW_001278_20131217_F00013BWF	1470
ENG_NW_001278_20131222_F000123EC	2129
NYT_ENG_20130426.0042	4827
NYT_ENG_20130428.0057	2831
NYT_ENG_20130504.0095	2619
NYT_ENG_20130522.0183	2835
NYT_ENG_20130525.0115	2983
NYT_ENG_20130615.0198	4100
NYT_ENG_20130623.0010	3148
NYT_ENG_20130624.0157	3215
NYT_ENG_20130630.0084	2948
NYT_ENG_20130701.0012	4727
