PER	一个草根起步的80后	80后
PER	在京城混的同学	同学
PER	这个同学	同学
PER	所有顾客	顾客
PER	80后	80后
GPE	京城	京城
LOC	家乡	家乡
GPE	相邻的城市	城市
ORG	窗帘店	窗帘店
PER	二奶	二奶
PER	富二代	二代
PER	官二代	二代
LOC	小地方	地方
PER	客户	客户
PER	客户	客户
FAC	宾馆	宾馆
PER	家	家
ORG	他们设计室	设计室
ORG	家乡的老店	老店
PER	博主	博主
PER	民众	民众
PER	百姓	百姓
PER	高层	高层
PER	我们的权者和精英	权者
PER	我们的权者和精英	精英
ORG	这种政府	政府
ORG	当局	当局
GPE	国家	国家
GPE	我国	我国
GPE	我国	我国
GPE	邻国	邻国
GPE	越菲等国	国
LOC	南海岛礁	岛礁
LOC	这些岛礁	岛礁
LOC	这些岛礁	岛礁
LOC	九段线内拥有主权的全部岛礁	岛礁
LOC	领土	领土
LOC	我国领土	领土
LOC	中国领土、领海	领土
LOC	我国领土	领土
LOC	中国领土、领海	领海
PER	人	人
GPE	非法侵占国家	国家
PER	中国人	中国人
PER	中国人	中国人
PER	中国人	中国人
PER	某些外交官	外交官
PER	老外	老外
PER	到国外旅游的中国人	中国人
GPE	一个有钱的乡巴佬	乡巴佬
LOC	世界各地	各地
LOC	全世界	世界
LOC	全世界	全世界
LOC	国外	国外
GPE	多少真心朋友	朋友
GPE	朋友	朋友
GPE	真正的朋友	朋友
GPE	利益驱使的同盟	同盟
GPE	敌人	敌人
GPE	永远的敌人	敌人
GPE	永远的朋友	朋友
PER	家	家
PER	美国人	美国人
PER	美国人	美国人
PER	美国人	美国人
PER	美国人	美国人
PER	美国人	美国人
PER	水均益的妹妹	妹妹
PER	北美人	北美人
PER	袁木的女儿	女儿
PER	这货	这货
PER	加拿大人	加拿大人
PER	中国的皇阿玛	皇阿玛
PER	人民	人民
PER	中国人	中国人
PER	中国人民	人民
PER	中国人	中国人
PER	其子	其子
PER	贪官	贪官
PER	明星	明星
PER	这些垃圾	垃圾
PER	这些人	人
PER	那么多白痴	白痴
PER	大批的商人	商人
PER	官员	官员
PER	国内有困难的人	人
PER	外国人	外国人
PER	外国人	外国人
PER	外国人	外国人
PER	百姓	百姓
PER	这货	这货
PER	移民外国的中国名人	名人
PER	跑到国外的	的
ORG	总部	总部
ORG	党	党
ORG	中国政府	政府
ORG	政府	政府
GPE	国家	国家
GPE	我国	我国
GPE	外国	外国
GPE	外国	外国
GPE	外国	外国
GPE	外国	外国
GPE	外国	外国
GPE	外国	外国
GPE	大陆	大陆
GPE	他们的祖国	祖国
LOC	世界	世界
LOC	国外	国外
LOC	国外	国外
LOC	国外	国外
LOC	国内	国内
LOC	国内	国内
LOC	国内	国内
LOC	国内	国内
LOC	国内	国内
PER	小老百姓	百姓
PER	裸官	裸官
PER	人	人
PER	戏子	戏子
PER	政客	政客
PER	英国人	英国人
PER	楼主	楼主
PER	这些大头百姓	百姓
PER	老百姓	百姓
PER	人民群众	群众
PER	百姓	百姓
PER	百姓	百姓
PER	百姓	百姓
PER	公安	公安
PER	警察	警察
PER	公安	公安
PER	这些不法商人	商人
PER	我们的下一代	下一代
ORG	黑作坊	作坊
ORG	黑工厂	工厂
