NOM	LOC	家乡	家乡
NOM	LOC	小地方	地方
NOM	FAC	宾馆	宾馆
NAM	LOC	南海	南海
NAM	LOC	南海	南海
NAM	LOC	南海	南海
NOM	LOC	南海岛礁	岛礁
NOM	LOC	这些岛礁	岛礁
NOM	LOC	这些岛礁	岛礁
NOM	LOC	九段线内拥有主权的全部岛礁	岛礁
NOM	LOC	领土	领土
NOM	LOC	我国领土	领土
NOM	LOC	中国领土、领海	领土
NOM	LOC	我国领土	领土
NOM	LOC	中国领土、领海	领海
NOM	LOC	世界各地	各地
NOM	LOC	全世界	世界
NOM	LOC	全世界	全世界
NOM	LOC	国外	国外
NAM	LOC	北美	北美
NOM	LOC	世界	世界
NOM	LOC	国外	国外
NOM	LOC	国外	国外
NOM	LOC	国外	国外
NOM	LOC	国内	国内
NOM	LOC	国内	国内
NOM	LOC	国内	国内
NOM	LOC	国内	国内
NOM	LOC	国内	国内
NOM	FAC	赌场	赌场
NOM	FAC	妓院	妓院
NOM	LOC	西方	西方
NAM	LOC	太空	太空
NOM	FAC	水下宫殿	宫殿
NOM	FAC	世界上最大的一座水下宫殿	宫殿
NOM	LOC	世界	世界
NOM	LOC	的黎波里沿海	沿海
NOM	FAC	的黎波里沿海的一所水下军事设施	设施
NOM	LOC	她所保护的工作单位	单位
NOM	FAC	水下宫殿的内部	内部
NAM	LOC	欧	欧
NAM	LOC	欧	欧
NAM	LOC	欧	欧
NAM	LOC	美	美
NAM	LOC	美	美
NAM	LOC	美	美
NOM	LOC	国内	国内
NOM	FAC	商场	商场
NOM	FAC	超市	超市
NOM	LOC	中国所坚称的拥有主权的海域	海域
NOM	LOC	中国所称的海域	海域
NOM	LOC	中国所坚称的拥有主权的海域的一侧	一侧
NOM	LOC	中国海域	海域
NOM	LOC	中国的海域	海域
NOM	LOC	中国周边	周边
NOM	LOC	中国的所谓的地缘国家一代	一代
NOM	LOC	中国坚称的拥有主权的海域	海域
NAM	FAC	天安门广场	天安门广场
NOM	LOC	西方	西方
NOM	LOC	世界	世界
NOM	LOC	世界	世界
NOM	LOC	菲律宾军演附近九段线	九段线
NOM	LOC	菲律宾军演附近九段线国内一侧	一侧
NOM	LOC	周边	周边
NAM	LOC	黄海	黄海
NAM	LOC	南海	南海
NAM	LOC	南海	南海
NOM	LOC	这么近的海域	海域
NAM	LOC	西海	西海
NOM	LOC	自己一侧	一侧
NOM	LOC	美国和菲律宾划定的演习区域	区域
NOM	LOC	国外	国外
NOM	LOC	世界	世界
NOM	FAC	一套正常家庭居住的新三房	三房
NOM	FAC	房子	房子
NOM	FAC	房子	房子
PRO	FAC	其	其
NOM	FAC	多套房子	房子
NOM	FAC	两套房子	房子
NOM	FAC	房	房
NOM	FAC	房	房
NAM	LOC	长津湖	长津湖
NAM	LOC	长津湖	长津湖
NAM	LOC	长津湖	长津湖
NAM	LOC	汉江	汉江
NAM	LOC	鸭绿江	鸭绿江
NOM	LOC	北纬37度线以南	以南
NOM	LOC	国内	国内
NOM	LOC	世界	世界
NOM	LOC	鸭绿江边	边
NOM	FAC	敌营	敌营
NOM	LOC	国外	国外
NAM	LOC	非洲	非洲
NAM	LOC	欧	欧
NAM	LOC	欧	欧
NAM	LOC	欧	欧
NAM	LOC	美	美
NAM	LOC	美	美
NAM	LOC	美	美
NOM	LOC	西方	西方
NAM	LOC	太平洋	太平洋
NAM	LOC	太平洋	太平洋
NOM	LOC	日本国土	国土
NAM	LOC	亚洲	亚洲
NOM	LOC	很大一部分土地	土地
NOM	LOC	东太平洋	太平洋
NOM	LOC	世界	世界
NAM	LOC	南海	南海
NAM	LOC	关东	关东
NOM	LOC	国内	国内
NOM	LOC	世界	世界
NOM	LOC	城	城
NAM	LOC	乌裕尔河	乌裕尔河
NOM	LOC	乌裕尔河畔	河畔
NOM	FAC	长江堤	堤
NAM	LOC	长江	长江
NAM	LOC	长江	长江
NOM	FAC	酒店	酒店
NOM	LOC	南沙被占岛屿	岛屿
NAM	LOC	南沙	南沙
NOM	LOC	中国领海	领海
NAM	FAC	西湖	西湖
NOM	LOC	雷区	雷区
NOM	FAC	东京湾港的基地	基地
