NOM	FAC	这个菜刀楼霸统治楼盘	楼盘
NOM	LOC	当今这个世界	世界
NOM	LOC	南海地区	地区
NOM	FAC	大使馆	大使馆
NOM	FAC	伊拉克核反应堆	核反应堆
NOM	FAC	多套房子	房子
NOM	FAC	日本的核电站	核电站
NAM	LOC	西海	西海
NOM	FAC	各个点	点
NAM	LOC	北小岛	北小岛
NOM	FAC	水下宫殿	宫殿
NOM	LOC	日本的北方四岛	四岛
NAM	LOC	亚洲	亚洲
NAM	FAC	北宫门站	北宫门站
NOM	LOC	该地区	地区
NOM	LOC	我国领土	领土
NOM	LOC	东北	东北
NOM	LOC	伊朗国内	国内
NAM	LOC	美	美
NOM	LOC	岛	岛
NAM	LOC	太空	太空
NAM	LOC	亚丁湾	亚丁湾
NAM	LOC	朝鲜半岛	朝鲜半岛
NOM	LOC	那些不为人知道的山村	山村
NOM	LOC	菲军事基地	基地
NOM	FAC	办公室	办公室
NOM	LOC	15个区块	区块
NOM	LOC	东太平洋	太平洋
NOM	LOC	中国海域	海域
NOM	FAC	酒店	酒店
NOM	LOC	深圳各区	各区
NAM	LOC	湄公河	湄公河
NAM	LOC	北西小岛	北西小岛
NAM	LOC	东北亚	东北亚
NAM	LOC	亚太	亚太
NOM	LOC	南海所有岛屿	岛屿
NAM	LOC	克拉克空军基地	克拉克空军基地
NOM	FAC	市场	市场
NOM	FAC	这样的养猪场	养猪场
NOM	FAC	一厅级官员家	家
NOM	LOC	周边	周边
NOM	LOC	农村	农村
NOM	FAC	4号线陶然亭站西南口	西南口
NOM	FAC	中国人有多少梦想，它就有多少种可能的舞台	舞台
NAM	LOC	北非	北非
NOM	LOC	中国现在的领土	领土
NAM	LOC	长津湖	长津湖
NOM	LOC	俄远东地区	地区
NOM	LOC	东北亚，东亚，南亚等地区	地区
NOM	LOC	日本经济海域	海域
NOM	LOC	岛礁	岛礁
NOM	FAC	学校	学校
NOM	LOC	东亚	东亚
NAM	LOC	黄鹤楼	黄鹤楼
NAM	LOC	台湾岛	台湾岛
NOM	LOC	九段线内拥有主权的全部岛礁	岛礁
NOM	LOC	省内	省内
NOM	LOC	小岛	小岛
NAM	LOC	北方四岛	北方四岛
NOM	LOC	中国所坚称的拥有主权的海域	海域
NOM	LOC	周边小岛	岛
NAM	LOC	汉江	汉江
NOM	LOC	本地区	本地区
NOM	FAC	水下宫殿的内部	内部
NOM	LOC	祖国的领土	领土
NOM	LOC	菲律宾军演附近九段线国内一侧	一侧
NOM	LOC	这么近的海域	海域
NOM	FAC	我这个房子	房子
NAM	FAC	铜锣湾	铜锣湾
NOM	LOC	全球	全球
NOM	LOC	一些地方	地方
NOM	FAC	这些公共设施	设施
NOM	LOC	中国人的土地	土地
NOM	LOC	该海域	该海域
NOM	FAC	常宁市电力局的下坡路面	路面
NAM	FAC	苏比克湾海军基地	苏比克湾海军基地
NAM	LOC	中业岛	中业岛
NOM	LOC	国外	国外
NOM	LOC	地球的南北两极	两极
NOM	FAC	永久性军事设施	设施
NAM	FAC	美国领事馆	美国领事馆
NOM	LOC	家乡	家乡
NOM	LOC	其附属岛屿	岛屿
NOM	FAC	57个核电站	核电站
NOM	LOC	太平洋上空	上空
NOM	LOC	南沙被占岛屿	岛屿
NOM	LOC	钓鱼岛附近	附近
NOM	FAC	敌营	敌营
NOM	FAC	廉价房	房
NOM	LOC	这些岛礁	岛礁
NAM	LOC	南亚	南亚
NOM	FAC	核电站	核电站
NOM	LOC	中国周边	周边
NOM	FAC	安居房	安居房
NAM	FAC	紫禁城	紫禁城
NOM	LOC	城市	城市
NOM	LOC	猪舍	猪舍
NOM	LOC	自已的领土	领土
NOM	FAC	一个屁烟筒	烟筒
NOM	LOC	我孩子	孩子
NOM	LOC	南海海底	海底
NOM	FAC	他的房子	房子
NAM	FAC	乌干达机场	乌干达机场
NAM	FAC	美国驻成都领事馆	美国驻成都领事馆
NOM	LOC	日本的固有领土	领土
NOM	LOC	中国所坚称的拥有主权的海域的一侧	一侧
NOM	LOC	南沙群岛属于自己的一部分领土	领土
NOM	LOC	两岸	两岸
NOM	LOC	这个丑恶的世界	世界
NOM	FAC	学校的图书室	图书室
NOM	LOC	雷区	雷区
NOM	FAC	婚房	婚房
NOM	LOC	全国各地	各地
NAM	FAC	北京地铁4号线安河桥北站	北京地铁4号线安河桥北站
NOM	LOC	钓鱼岛周围小岛在内的39个无名岛	无名岛
NOM	FAC	伊朗的核设施	设施
NOM	FAC	埃及空军基地	基地
NOM	LOC	菲律宾领土	领土
NOM	LOC	一岛	一岛
NOM	FAC	两会现场	现场
NOM	LOC	它的殖民地	殖民地
NOM	LOC	他们公司	公司
NAM	FAC	天安门广场	天安门广场
NOM	FAC	越南街头	街头
NOM	LOC	中石化潍坊第二十九加油站附近	附近
NOM	LOC	地盘	地盘
NOM	FAC	一栋房屋	房屋
NOM	LOC	土耳其境内	境内
NAM	LOC	北宫门	北宫门
NOM	LOC	任何地方	地方
NOM	LOC	日本国内	国内
NOM	FAC	房地产商	地产商
NOM	LOC	彊土	彊土
NOM	FAC	厨房	厨房
NAM	LOC	天安门	天安门
NAM	LOC	宝安区	宝安区
NOM	LOC	金三角地区	地区
NOM	LOC	其领土	领土
NOM	LOC	菲律宾军演附近九段线	九段线
NOM	LOC	钓鱼岛周围无名岛	无名岛
